ImageID,detectorType,descriptorType,numMatchedKpts,cameraTTC
8,BRISK,AKAZE,-,-
9,BRISK,AKAZE,-,-
10,BRISK,AKAZE,-,-
11,BRISK,AKAZE,-,-
12,BRISK,AKAZE,-,-
13,BRISK,AKAZE,-,-
14,BRISK,AKAZE,-,-
15,BRISK,AKAZE,-,-
16,BRISK,AKAZE,-,-
17,BRISK,AKAZE,-,-
18,BRISK,AKAZE,-,-
1,ORB,BRISK,75,19.4708
2,ORB,BRISK,82,13.599
8,ORB,BRISK,94,10.0413
9,ORB,BRISK,75,21.1185
10,ORB,BRISK,82,21.0926
12,ORB,BRISK,89,-inf
13,ORB,BRISK,81,12.9993
14,ORB,BRISK,85,9.56047
15,ORB,BRISK,79,8.85869
16,ORB,BRISK,90,11.7123
17,ORB,BRISK,83,17.7945
18,ORB,BRISK,85,27.9742
0,ORB,BRIEF,-,-
1,ORB,BRIEF,44,14.4902
2,ORB,BRIEF,54,14.0053
3,ORB,BRIEF,69,28.1797
4,ORB,BRIEF,49,21.4016
5,ORB,BRIEF,48,29.0176
6,ORB,BRIEF,47,9.27612
9,ORB,BRIEF,59,-inf
11,ORB,BRIEF,39,17.0883
12,ORB,BRIEF,55,14.1185
13,ORB,BRIEF,48,22.3146
14,ORB,BRIEF,79,10.9352
15,ORB,BRIEF,46,13.3127
16,ORB,BRIEF,46,8.71445
17,ORB,BRIEF,44,17.2315
18,ORB,BRIEF,42,14.4987
1,ORB,ORB,52,15.1483
2,ORB,ORB,53,11.2445
5,ORB,ORB,58,25.3002
7,ORB,ORB,81,-inf
8,ORB,ORB,58,10.0719
9,ORB,ORB,68,-inf
10,ORB,ORB,52,15.2808
12,ORB,ORB,69,-inf
13,ORB,ORB,75,13.127
14,ORB,ORB,72,13.306
15,ORB,ORB,63,26.1262
16,ORB,ORB,66,14.2386
17,ORB,ORB,52,16.6667
18,ORB,ORB,54,46.5168
0,ORB,FREAK,-,-
1,ORB,FREAK,31,11.5099
2,ORB,FREAK,46,13.3994
3,ORB,FREAK,45,10.6146
4,ORB,FREAK,52,10.8708
5,ORB,FREAK,38,-inf
7,ORB,FREAK,51,-inf
8,ORB,FREAK,49,8.85642
9,ORB,FREAK,48,18.3901
10,ORB,FREAK,34,-inf
11,ORB,FREAK,41,6.46748
12,ORB,FREAK,40,14.9136
13,ORB,FREAK,54,6.53462
14,ORB,FREAK,59,54.2694
15,ORB,FREAK,46,8.71003
16,ORB,FREAK,55,7.46505
17,ORB,FREAK,54,11.3219
18,ORB,FREAK,39,4.71741
0,ORB,SIFT,-,-
1,ORB,SIFT,84,16.7259
2,ORB,SIFT,90,10.6668
4,ORB,SIFT,98,145.22
5,ORB,SIFT,95,70.6505
7,ORB,SIFT,120,145.751
8,ORB,SIFT,120,9.11705
9,ORB,SIFT,93,15.1132
12,ORB,SIFT,103,-inf
13,ORB,SIFT,96,8.3376
14,ORB,SIFT,112,13.7226
15,ORB,SIFT,92,13.5119
16,ORB,SIFT,111,8.22114
17,ORB,SIFT,94,16.5329
18,ORB,SIFT,102,10.8565
0,ORB,AKAZE,-,-
1,ORB,AKAZE,-,-
2,ORB,AKAZE,-,-
3,ORB,AKAZE,-,-
4,ORB,AKAZE,-,-
5,ORB,AKAZE,-,-
6,ORB,AKAZE,-,-
7,ORB,AKAZE,-,-
8,ORB,AKAZE,-,-
9,ORB,AKAZE,-,-
10,ORB,AKAZE,-,-
11,ORB,AKAZE,-,-
12,ORB,AKAZE,-,-
13,ORB,AKAZE,-,-
14,ORB,AKAZE,-,-
15,ORB,AKAZE,-,-
16,ORB,AKAZE,-,-
17,ORB,AKAZE,-,-
18,ORB,AKAZE,-,-
1,AKAZE,BRISK,153,12.9342
2,AKAZE,BRISK,169,13.7231
3,AKAZE,BRISK,167,13.7895
4,AKAZE,BRISK,175,14.7121
5,AKAZE,BRISK,164,14.7389
6,AKAZE,BRISK,170,14.8968
7,AKAZE,BRISK,192,16.4882
8,AKAZE,BRISK,207,14.0244
9,AKAZE,BRISK,185,15.8182
10,AKAZE,BRISK,207,11.9816
11,AKAZE,BRISK,179,12.6452
12,AKAZE,BRISK,193,11.0042
13,AKAZE,BRISK,205,10.3178
14,AKAZE,BRISK,186,9.79736
15,AKAZE,BRISK,169,9.5662
16,AKAZE,BRISK,186,10.4307
17,AKAZE,BRISK,190,9.56996
18,AKAZE,BRISK,198,9.05828
0,AKAZE,BRIEF,-,-
1,AKAZE,BRIEF,159,12.7164
2,AKAZE,BRIEF,156,14.8579
3,AKAZE,BRIEF,182,13.4752
5,AKAZE,BRIEF,177,15.1106
6,AKAZE,BRIEF,178,12.5125
7,AKAZE,BRIEF,202,16.2734
8,AKAZE,BRIEF,195,14.1826
10,AKAZE,BRIEF,189,12.1838
11,AKAZE,BRIEF,186,12.7645
12,AKAZE,BRIEF,198,10.4343
13,AKAZE,BRIEF,204,10.5051
14,AKAZE,BRIEF,193,9.92191
15,AKAZE,BRIEF,183,9.25147
16,AKAZE,BRIEF,195,10.1596
17,AKAZE,BRIEF,184,9.60992
18,AKAZE,BRIEF,189,9.02517
1,AKAZE,ORB,103,12.5099
2,AKAZE,ORB,121,13.932
3,AKAZE,ORB,124,13.4752
4,AKAZE,ORB,130,14.0327
6,AKAZE,ORB,119,13.3221
8,AKAZE,ORB,168,13.9035
9,AKAZE,ORB,150,12.9714
12,AKAZE,ORB,147,10.6841
13,AKAZE,ORB,141,10.8591
14,AKAZE,ORB,154,11.1356
15,AKAZE,ORB,146,10.5043
16,AKAZE,ORB,140,10.8398
17,AKAZE,ORB,123,9.6319
18,AKAZE,ORB,122,8.43788
0,AKAZE,FREAK,-,-
1,AKAZE,FREAK,116,12.0991
2,AKAZE,FREAK,122,14.2724
3,AKAZE,FREAK,126,14.3256
4,AKAZE,FREAK,132,14.7402
5,AKAZE,FREAK,127,15.3141
7,AKAZE,FREAK,178,16.3044
8,AKAZE,FREAK,183,13.8264
9,AKAZE,FREAK,149,14.5197
11,AKAZE,FREAK,146,12.153
12,AKAZE,FREAK,137,10.7556
13,AKAZE,FREAK,167,11.1794
14,AKAZE,FREAK,170,9.43479
15,AKAZE,FREAK,124,9.3965
16,AKAZE,FREAK,146,9.77437
17,AKAZE,FREAK,141,9.56996
18,AKAZE,FREAK,140,8.77002
0,AKAZE,SIFT,-,-
1,AKAZE,SIFT,204,12.2588
2,AKAZE,SIFT,223,14.289
3,AKAZE,SIFT,240,13.1421
4,AKAZE,SIFT,213,13.938
6,AKAZE,SIFT,206,13.7241
7,AKAZE,SIFT,245,15.4656
8,AKAZE,SIFT,241,13.8873
9,AKAZE,SIFT,242,13.9315
10,AKAZE,SIFT,266,11.8227
11,AKAZE,SIFT,240,12.0312
12,AKAZE,SIFT,251,11.1953
13,AKAZE,SIFT,244,10.7938
14,AKAZE,SIFT,247,10.126
15,AKAZE,SIFT,227,10.003
16,AKAZE,SIFT,247,10.0241
17,AKAZE,SIFT,229,9.14844
18,AKAZE,SIFT,235,8.94297
0,AKAZE,AKAZE,-,-
1,AKAZE,AKAZE,190,12.2154
2,AKAZE,AKAZE,191,13.8404
3,AKAZE,AKAZE,221,12.795
4,AKAZE,AKAZE,192,14.0072
5,AKAZE,AKAZE,185,15.1028
6,AKAZE,AKAZE,181,13.9495
7,AKAZE,AKAZE,219,15.0653
8,AKAZE,AKAZE,225,14.2398
9,AKAZE,AKAZE,221,13.757
10,AKAZE,AKAZE,234,11.9729
11,AKAZE,AKAZE,209,12.5884
12,AKAZE,AKAZE,229,11.191
13,AKAZE,AKAZE,215,10.8013
14,AKAZE,AKAZE,232,10.1691
15,AKAZE,AKAZE,215,9.63108
16,AKAZE,AKAZE,225,9.8827
17,AKAZE,AKAZE,201,9.49132
18,AKAZE,AKAZE,210,9.12353
